protein,ligand1,ligand2,lambdai,Gi(kcal/mol),stddev(kcal/mol),stddev(kcal/mol),aue(kcal/mol),,,
CDK2-nnp,29,26,0.00 ,0,0,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.05,16.0385,0.1171209,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.10 ,29.70636,0.1451525,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.15,42.09481,0.1638461,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.20 ,53.53482,0.1745488,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.25,64.70179,0.1770792,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.30 ,60.6239,0.1946716,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.35,53.85072,0.2211362,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.40 ,45.39112,0.2356493,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.45,35.86072,0.2451116,0.37 ,1.31 ,,,
CDK2-nnp,29,26,0.50 ,25.51814,0.2528958,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.00 ,0,0,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.05,16.86818,0.1148173,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.10 ,30.91984,0.1460088,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.15,43.79553,0.163189,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.20 ,55.46886,0.1787284,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.25,66.68806,0.1825171,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.30 ,62.42093,0.2118887,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.35,55.16484,0.2348995,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.40 ,46.34856,0.2478767,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.45,36.46242,0.2569911,0.37 ,1.31 ,,,
CDK2-nnp,26,29,0.50 ,25.65409,0.2654326,0.37 ,1.31 ,,,
CDK2-nnp,1oiy,1oi9,0.00 ,0,0,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.05,16.60292,0.1459077,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.10 ,30.23329,0.1688101,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.15,43.13553,0.1760957,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.20 ,55.53596,0.1826348,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.25,67.37883,0.190681,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.30 ,65.23475,0.2069248,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.35,61.22117,0.2278405,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.40 ,55.14478,0.248586,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.45,47.11779,0.2657823,0.39 ,0.59 ,,,
CDK2-nnp,1oiy,1oi9,0.50 ,36.94796,0.2849671,0.39 ,0.59 ,,,
